t,x,y
122.97513118868355,-0.2640663369126541,-36.8347835005116
123.01315689406037,-0.2710224279676687,-36.83316764144253
123.05118259943721,-0.2779782093757185,-36.83150969998122
123.08920830481405,-0.28493367314818807,-36.829809672517136
123.12723401019089,-0.29188881129363836,-36.828067555347374
123.16525971556771,-0.29884361581776087,-36.82628334467689
123.20328542094455,-0.3057980787233074,-36.824457036618455
123.24131112632139,-0.31275219200999727,-36.8225886271928
123.27933683169822,-0.3197059476744749,-36.82067811232753
123.31736253707506,-0.32665933771021083,-36.818725487858835
123.3553882424519,-0.3336123541074485,-36.81673074953003
123.39341394782872,-0.3405649888531282,-36.814693892991926
123.43143965320556,-0.34751723393081074,-36.812614913802875
123.4694653585824,-0.3544690813206075,-36.81049380742878
123.50749106395924,-0.3614205229991159,-36.80833056924275
123.54551676933606,-0.36837155093933377,-36.806125194525215
123.5835424747129,-0.3753221571106029,-36.80387767846391
123.62156818008974,-0.38227233347852274,-36.80158801615391
123.65959388546656,-0.3892220720048922,-36.799256202597064
123.6976195908434,-0.3961713646476263,-36.79688223270267
123.73564529622024,-0.4031202033606873,-36.79446610128688
123.77367100159708,-0.41006858009400976,-36.792007803072956
123.8116967069739,-0.4170164867934377,-36.78950733269056
123.84972241235074,-0.4239639154006372,-36.78696468467665
123.88774811772758,-0.4309108578530386,-36.784379853474825
123.92577382310441,-0.4378573060837518,-36.781752833435284
123.96379952848125,-0.4448032520214956,-36.77908361881502
124.00182523385809,-0.4517486875905372,-36.77637220377738
124.03985093923491,-0.4586936047105994,-36.773618582392366
124.07787664461175,-0.4656379952967989,-36.77082274863648
124.11590234998859,-0.4725818512595703,-36.7679846963921
124.15392805536543,-0.4795251645045988,-36.765104419448484
124.19195376074225,-0.48646792693273794,-36.762181911500484
124.22997946611909,-0.4934101304399333,-36.7592171661496
124.26800517149593,-0.5003517669171688,-36.75621017690317
124.30603087687275,-0.5072928282503593,-36.75316093717427
124.34405658224959,-0.514233306320305,-36.75006944028207
124.38208228762643,-0.5211731930026112,-36.74693567945134
124.42010799300327,-0.5281124801676089,-36.74375964781316
124.4581336983801,-0.535051159680276,-36.74054133840347
124.49615940375693,-0.5419892234001777,-36.73728074416419
124.53418510913377,-0.5489266631813677,-36.733977857942705
124.5722108145106,-0.5558634708723434,-36.73063267249161
124.61023651988744,-0.5627996383159504,-36.72724518046874
124.64826222526428,-0.5697351573493113,-36.72381537443747
124.6862879306411,-0.5766700198037616,-36.72034324686597
124.72431363601794,-0.5836042175047512,-36.71682879012739
124.76233934139478,-0.5905377422717868,-36.71327199649996
124.80036504677162,-0.5974705859183637,-36.709672858166755
124.83839075214844,-0.60440274025186,-36.70603136721553
124.87641645752528,-0.6113341970734858,-36.70234751563858
124.91444216290212,-0.6182649481782025,-36.69862129533305
124.95246786827894,-0.6251949853546394,-36.694852698100235
124.99049357365578,-0.6321243003850305,-36.69104171564572
125.02851927903262,-0.6390528850451216,-36.687188339579535
125.06654498440946,-0.6459807311041035,-36.68329256141574
125.10457068978629,-0.6529078303245334,-36.67935437257246
125.14259639516312,-0.6598341744622619,-36.67537376437176
125.18062210053996,-0.6667597552663432,-36.671350728040935
125.21864780591679,-0.6736845644789655,-36.667285254706556
125.25667351129363,-0.6806085938353793,-36.66317733540343
125.29469921667047,-0.6875318350638082,-36.65902696106821
125.33272492204729,-0.6944542798853905,-36.65483412254093
125.37075062742413,-0.7013759200140733,-36.65059881056495
125.40877633280097,-0.7082967471565458,-36.64632101578672
125.44680203817781,-0.7152167530121722,-36.64200072875578
125.48482774355463,-0.7221359292729126,-36.637637939924545
125.52285344893147,-0.7290542676232199,-36.6332326396484
125.56087915430831,-0.7359717597399734,-36.628784818185004
125.59890485968513,-0.7428883972924344,-36.6242944656954
125.63693056506197,-0.7498041719420925,-36.61976157224214
125.67495627043881,-0.7567190753426696,-36.61518612779065
125.71298197581565,-0.7636330991399708,-36.61056812220828
125.75100768119248,-0.7705462349718454,-36.605907545264984
125.78903338656932,-0.7774584744680952,-36.60120438663213
125.82705909194615,-0.784369809250389,-36.59645863588316
125.86508479732298,-0.7912802309321902,-36.59167028249285
125.90311050269982,-0.7981897311186705,-36.586839315838134
